X,Y,Unique Squirrel ID,Hectare,Shift,Date,Age,Primary Fur Color,Highlight Fur Color,Location,Running,Chasing,Climbing,Eating,Foraging
-73.962149,40.79297,10A-AM-0052,19H,AM,10132018,Juvenile,Cinnamon,White,Above Ground,False,False,True,True,False
-73.957964,40.784149,10A-AM-0053,2B,AM,10162018,Adult,Black,Cinnamon,Ground Plane,True,False,False,False,True
-73.950092,40.777435,10A-AM-0054,32B,PM,10112018,Juvenile,Gray,Cinnamon,Ground Plane,True,False,False,False,False
-73.960122,40.776018,10A-AM-0055,36A,PM,1072018,Juvenile,Gray,Cinnamon,Ground Plane,False,True,False,False,True
-73.974373,40.774471,10A-AM-0056,32H,AM,1092018,Juvenile,Cinnamon,Gray,Above Ground,False,False,True,True,True
-73.958707,40.77243,10A-AM-0057,1G,AM,1092018,Adult,Gray,,Ground Plane,False,False,False,False,False
-73.950593,40.769749,10A-AM-0058,36C,PM,1092018,Adult,Gray,Cinnamon,Above Ground,False,False,True,False,False
-73.954876,40.783197,10A-AM-0059,32C,PM,10142018,Juvenile,Gray,Cinnamon,Above Ground,False,False,True,True,False
-73.972993,40.791022,10A-AM-0060,3F,PM,10172018,Juvenile,Gray,Gray,Above Ground,True,True,False,True,False
-73.977009,40.796418,10A-AM-0061,1C,PM,10192018,Adult,Gray,White,Above Ground,False,False,True,False,False
-73.951376,40.785072,10A-AM-0062,32A,AM,1092018,Juvenile,Gray,,Above Ground,True,True,False,True,False
-73.952897,40.76184,10A-AM-0063,4E,PM,10112018,Juvenile,Gray,Gray,Above Ground,True,True,True,True,False
-73.961409,40.769633,10A-AM-0064,38C,AM,10132018,Juvenile,Gray,Cinnamon,Ground Plane,False,False,True,True,False
-73.951643,40.799506,10A-AM-0065,20G,PM,10132018,Juvenile,Gray,White,Above Ground,True,True,False,False,False
-73.950219,40.771809,10A-AM-0066,26E,AM,10152018,Adult,Cinnamon,White,Above Ground,True,False,True,True,False
-73.959667,40.788837,10A-AM-0067,9B,AM,10102018,Juvenile,Gray,Cinnamon,Ground Plane,True,False,False,False,True
-73.973976,40.791461,10A-AM-0068,24E,AM,10102018,Juvenile,Gray,Cinnamon,Ground Plane,False,True,True,True,False
-73.950982,40.792184,10A-AM-0069,24B,PM,1062018,Juvenile,Gray,,Above Ground,False,False,False,False,True
-73.959755,40.778859,10A-AM-0070,40F,AM,10162018,Adult,Cinnamon,White,Above Ground,False,True,True,True,True
-73.970869,40.779705,10A-AM-0071,7D,AM,10122018,Juvenile,Gray,White,Ground Plane,False,True,False,False,False
-73.979019,40.774821,10A-AM-0072,29H,AM,10192018,Juvenile,Gray,Cinnamon,Above Ground,True,False,False,True,True
-73.95153,40.792968,10A-AM-0073,6D,AM,1062018,Juvenile,Gray,Gray,Ground Plane,True,True,True,True,False
-73.956769,40.791546,10A-AM-0074,39A,PM,10192018,Adult,Gray,Cinnamon,Ground Plane,True,True,True,True,False
-73.9563,40.769517,10A-AM-0075,21A,AM,10102018,Adult,Gray,White,Ground Plane,True,False,False,False,True
-73.96644,40.768862,10A-AM-0076,40A,PM,10132018,Adult,Gray,White,Above Ground,False,True,False,False,True
-73.953022,40.772884,10A-AM-0077,10B,AM,10102018,Juvenile,Gray,Cinnamon,Above Ground,False,True,True,True,False
-73.966453,40.76914,10A-AM-0078,22H,PM,10122018,Adult,Gray,White,Above Ground,False,False,True,False,True
-73.977263,40.763415,10A-AM-0079,28B,PM,10182018,Adult,Cinnamon,,Above Ground,True,False,False,False,True
-73.950948,40.784016,10A-AM-0080,23B,AM,1082018,Juvenile,Gray,,Above Ground,False,True,False,True,False
-73.954645,40.798982,10A-AM-0081,40A,PM,1062018,Adult,Gray,Cinnamon,Above Ground,False,True,True,True,False
-73.977912,40.789639,10A-AM-0082,2B,AM,10122018,Juvenile,Gray,Cinnamon,Ground Plane,False,False,False,True,True
-73.975333,40.790177,10A-AM-0083,4B,PM,10132018,Juvenile,Gray,White,Above Ground,False,True,True,False,False
-73.976673,40.787129,10A-AM-0084,38H,PM,1062018,Adult,Gray,,Ground Plane,True,False,True,True,False
-73.971317,40.764799,10A-AM-0085,32G,AM,1082018,Juvenile,Gray,Gray,Above Ground,True,False,True,False,True
-73.966207,40.763115,10A-AM-0086,21G,PM,10172018,Juvenile,Gray,,Above Ground,True,False,True,False,False
-73.977356,40.793779,10A-AM-0087,16G,PM,10142018,Adult,Gray,Cinnamon,Above Ground,True,False,True,True,True
-73.964082,40.767756,10A-AM-0088,23F,AM,1092018,Adult,Gray,Cinnamon,Ground Plane,True,True,True,True,False
-73.966081,40.782549,10A-AM-0089,38H,PM,10192018,Juvenile,Gray,White,Ground Plane,False,False,False,False,True
-73.969442,40.762968,10A-AM-0090,30H,AM,1062018,Juvenile,Gray,,Ground Plane,False,False,True,False,True
-73.970354,40.779025,10A-AM-0091,10A,PM,1072018,Juvenile,Black,,Ground Plane,True,True,False,False,True
-73.969083,40.796717,10A-AM-0092,25G,PM,10162018,Adult,Cinnamon,Cinnamon,Ground Plane,False,True,False,False,False
-73.958288,40.786263,10A-AM-0093,39C,PM,1072018,Adult,Gray,Cinnamon,Above Ground,True,True,False,False,False
-73.955604,40.786805,10A-AM-0094,34B,PM,10142018,Juvenile,Gray,Cinnamon,Above Ground,True,True,False,False,True
-73.973204,40.765503,10A-AM-0095,5E,AM,10142018,Adult,Cinnamon,Cinnamon,Ground Plane,False,True,True,True,True
-73.958365,40.761748,10A-AM-0096,24D,PM,10152018,Juvenile,Black,White,Ground Plane,True,False,False,True,False
-73.959651,40.782817,10A-AM-0097,29H,PM,10182018,Juvenile,Gray,White,Ground Plane,True,True,False,True,False
-73.953776,40.782182,10A-AM-0098,7B,PM,1072018,Adult,Gray,White,Ground Plane,False,True,True,False,False
-73.952086,40.776596,10A-AM-0099,26F,AM,10122018,Adult,Gray,Gray,Ground Plane,False,True,False,True,True
-73.978851,40.796696,10A-AM-0100,31C,PM,10132018,Adult,Gray,,Above Ground,True,True,False,True,False
